Unnamed: 0,Titre,Entrées,best_match,movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_poster,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date,year
0,1 Kung Fu Panda 4 Universal Pictures International France Bande-Annonce,825 898,,,,,,,,,,,,,,,,,,,,,,
1,3 La Promesse Verte Diaphana Distribution Bande-Annonce,176 281,,,,,,,,,,,,,,,,,,,,,,
2,4 Pas De Vagues Ad Vitam Bande-Annonce,170 817,,,,,,,,,,,,,,,,,,,,,,
3,6 Le Jeu De La Reine Arp Sélection Bande-Annonce,106 872,,,,,,,,,,,,,,,,,,,,,,
4,4 Immaculée Metropolitan Filmexport Bande-Annonce,129 796,,,,,,,,,,,,,,,,,,,,,,
5,5 Karaoké Ugc Distribution Bande-Annonce,116 784,,,,,,,,,,,,,,,,,,,,,,
6,6 Hors-Saison Gaumont Distribution Bande-Annonce,114 495,,,,,,,,,,,,,,,,,,,,,,
7,3 Il Reste Encore Demain Universal Pictures International France Bande-Annonce,145 340,,,,,,,,,,,,,,,,,,,,,,
8,4 Heureux Gagnants Warner Bros. France Bande-Annonce,136 628,,,,,,,,,,,,,,,,,,,,,,
9,10 Scandaleusement Vôtre Studiocanal Bande-Annonce,51 921,,,,,,,,,,,,,,,,,,,,,,
10,3 Bolero Snd Bande-Annonce,177 724,,,,,,,,,,,,,,,,,,,,,,
11,8 14 Jours Pour Aller Mieux Wild Bunch Distribution Bande-Annonce,126 678,,,,,,,,,,,,,,,,,,,,,,
12,9 La Salle Des Profs Tandem Bande-Annonce,90 612,,,,,,,,,,,,,,,,,,,,,,
13,10 Imaginary Metropolitan Filmexport Bande-Annonce,89 440,,,,,,,,,,,,,,,,,,,,,,
14,1 Dune : Deuxième Partie Warner Bros. France Bande-Annonce,1 383 999,,,,,,,,,,,,,,,,,,,,,,
15,8 Madame De Sévigné Orange Studio Distribution / Ad Vitam Bande-Annonce,112 650,,,,,,,,,,,,,,,,,,,,,,
16,9 Tombés Du Camion Zinc Film Bande-Annonce,78 789,,,,,,,,,,,,,,,,,,,,,,
17,1 Une Vie Snd Bande-Annonce,456 390,,,,,,,,,,,,,,,,,,,,,,
18,7 Demon Slayer: Kimetsu No Yaiba – En Route Vers L'Entraînement Des Piliers Sony Pictures Releasing France Bande-Annonce,151 200,,,,,,,,,,,,,,,,,,,,,,
19,9 Les Chèvres ! Pathé Bande-Annonce,108 258,,,,,,,,,,,,,,,,,,,,,,
20,1 Bob Marley: One Love Paramount Pictures France Bande-Annonce,772 865,,,,,,,,,,,,,,,,,,,,,,
21,2 Maison De Retraite 2 Apollo Films Bande-Annonce,526 067,,,,,,,,,,,,,,,,,,,,,,
22,4 Chien Et Chat Gaumont Distribution Bande-Annonce,314 952,,,,,,,,,,,,,,,,,,,,,,
23,5 Madame Web Sony Pictures Releasing France Bande-Annonce,207 894,,,,,,,,,,,,,,,,,,,,,,
24,10 Sans Jamais Nous Connaître The Walt Disney Company France Bande-Annonce,74 540,,,,,,,,,,,,,,,,,,,,,,
25,1 Cocorico Snd Bande-Annonce,584 706,,,,,,,,,,,,,,,,,,,,,,
26,2 Le Dernier Jaguar Studiocanal Bande-Annonce,222 380,,,,,,,,,,,,,,,,,,,,,,
27,3 Daaaaaali ! Diaphana Distribution Bande-Annonce,209 546,,,,,,,,,,,,,,,,,,,,,,
28,6 Opération Portugal 2: La Vie De Château Sony Pictures Releasing France Bande-Annonce,122 868,,,,,,,,,,,,,,,,,,,,,,
29,9 Le Royaume De Kensuke Le Pacte Bande-Annonce,72 554,,,,,,,,,,,,,,,,,,,,,,
30,1 La Zone D'Intérêt Bac Films Bande-Annonce,239 108,,,,,,,,,,,,,,,,,,,,,,
31,2 Argylle Universal Pictures International France Bande-Annonce,219 098,,,,,,,,,,,,,,,,,,,,,,
32,"7 Léo, La Fabuleuse Histoire De Léonard De Vinci Kmbo Bande-Annonce",87 482,,,,,,,,,,,,,,,,,,,,,,
33,1 Un Coup De Dés Snd Bande-Annonce,221 196,,,,,,,,,,,,,,,,,,,,,,
34,3 May December Arp Sélection Bande-Annonce,118 770,,,,,,,,,,,,,,,,,,,,,,
35,6 Tout Sauf Toi Sony Pictures Entertainment France Bande-Annonce,99 314,,,,,,,,,,,,,,,,,,,,,,
36,8 Le Dernier Des Juifs Ad Vitam Bande-Annonce,64 165,,,,,,,,,,,,,,,,,,,,,,
37,1 Pauvres Créatures The Walt Disney Company France Bande-Annonce,186 568,,,,,,,,,,,,,,,,,,,,,,
38,4 Comme Un Prince Apollo Films / Orange Studio Bande-Annonce,119 238,,,,,,,,,,,,,,,,,,,,,,
39,"5 Bonnard, Pierre Et Marthe Memento Distribution Bande-Annonce",146 114,,,,,,,,,,,,,,,,,,,,,,
40,7 Un Silence Les Films Du Losange Bande-Annonce,90 037,,,,,,,,,,,,,,,,,,,,,,
41,8 Making Of Ad Vitam Bande-Annonce,88 397,,,,,,,,,,,,,,,,,,,,,,
42,5 Les Segpa Au Ski Apollo Films Bande-Annonce,344 268,,,,,,,,,,,,,,,,,,,,,,
43,8 Iris Et Les Hommes Diaphana Distribution Bande-Annonce,167 511,,,,,,,,,,,,,,,,,,,,,,
44,10 Priscilla Arp Sélection Bande-Annonce,144 773,,,,,,,,,,,,,,,,,,,,,,
45,2 Aquaman Et Le Royaume Perdu Warner Bros. France Bande-Annonce,552 105,,,,,,,,,,,,,,,,,,,,,,
46,5 Chasse Gardée Ugc Distribution Bande-Annonce,329 408,,,,,,,,,,,,,,,,,,,,,,
47,7 Jeff Panacloc - À La Poursuite De Jean-Marc Snd Bande-Annonce,175 085,,,,,,,,,,,,,,,,,,,,,,
48,1 Wonka Warner Bros. France Bande-Annonce,787 846,,,,,,,,,,,,,,,,,,,,,,
49,2 Les Trois Mousquetaires: Milady Pathé Bande-Annonce,711 192,,,,,,,,,,,,,,,,,,,,,,
50,9 Les Inséparables Kmbo Bande-Annonce,62 664,,,,,,,,,,,,,,,,,,,,,,
51,2 Migration Universal Pictures International France Bande-Annonce,266 863,,,,,,,,,,,,,,,,,,,,,,
52,6 Soudain Seuls Studiocanal Bande-Annonce,116 736,,,,,,,,,,,,,,,,,,,,,,
53,7 Noël Joyeux Gaumont Distribution Bande-Annonce,101 658,,,,,,,,,,,,,,,,,,,,,,
54,8 Bâtiment 5 Le Pacte Bande-Annonce,88 788,,,,,,,,,,,,,,,,,,,,,,
55,1 Wish - Asha Et La Bonne Étoile The Walt Disney Company France Bande-Annonce,628 897,,,,,,,,,,,,,,,,,,,,,,
56,3 La Tresse Snd Bande-Annonce,306 073,,,,,,,,,,,,,,,,,,,,,,
57,5 Le Temps D’Aimer Gaumont Distribution Bande-Annonce,118 783,,,,,,,,,,,,,,,,,,,,,,
58,6 Perfect Days Haut Et Court Bande-Annonce,103 232,,,,,,,,,,,,,,,,,,,,,,
59,8 Thanksgiving : La Semaine De L'Horreur Sony Pictures Releasing France Bande-Annonce,75 871,,,,,,,,,,,,,,,,,,,,,,
60,1 Napoléon Sony Pictures Releasing France Bande-Annonce,764 419,,,,,,,,,,,,,,,,,,,,,,
61,7 Rien À Perdre Ad Vitam Bande-Annonce,84 320,,,,,,,,,,,,,,,,,,,,,,
62,10 Picasso At The Lapin Agile,55 429,,,,,,,,,,,,,,,,,,,,,,
63,1 Hunger Games: La Ballade Du Serpent Et De L'Oiseau Chanteur Metropolitan Filmexport Bande-Annonce,613 191,,,,,,,,,,,,,,,,,,,,,,
64,7 Comme Par Magie Apollo Films / Orange Studio Bande-Annonce,101 739,,,,,,,,,,,,,,,,,,,,,,
65,8 Et La Fête Continue ! Diaphana Distribution Bande-Annonce,78 090,,,,,,,,,,,,,,,,,,,,,,
66,1 Five Nights At Freddy'S Universal Pictures International France Bande-Annonce,493 993,,,,,,,,,,,,,,,,,,,,,,
67,2 The Marvels The Walt Disney Company France Bande-Annonce,369 007,,,,,,,,,,,,,,,,,,,,,,
68,3 L'Abbé Pierre - Une Vie De Combats Snd Bande-Annonce,350 564,,,,,,,,,,,,,,,,,,,,,,
69,8 La Passion De Dodin Bouffant Gaumont Distribution Bande-Annonce,94 401,,,,,,,,,,,,,,,,,,,,,,
70,10 Simple Comme Sylvain Memento Distribution Bande-Annonce,77 363,,,,,,,,,,,,,,,,,,,,,,
71,1 Le Garçon Et Le Héron Wild Bunch Distribution Bande-Annonce,702 835,,,,,,,,,,,,,,,,,,,,,,
72,9 Flo Metropolitan Filmexport Bande-Annonce,149 707,,,,,,,,,,,,,,,,,,,,,,
73,10 Inestimable Pan Distribution Bande-Annonce,137 335,,,,,,,,,,,,,,,,,,,,,,
74,1 3 Jours Max Studiocanal Bande-Annonce,872 669,,,,,,,,,,,,,,,,,,,,,,
75,4 Second Tour Pathé Bande-Annonce,464 003,,,,,,,,,,,,,,,,,,,,,,
76,6 Saw X Metropolitan Filmexport Bande-Annonce,315 046,,,,,,,,,,,,,,,,,,,,,,
77,2 Une Année Difficile Gaumont Distribution Bande-Annonce,424 007,,,,,,,,,,,,,,,,,,,,,,
78,3 Les Trolls 3 Universal Pictures International France Bande-Annonce,419 824,,,,,,,,,,,,,,,,,,,,,,
79,4 Killers Of The Flower Moon Paramount Pictures France Bande-Annonce,418 140,,,,,,,,,,,,,,,,,,,,,,
80,1 La Pat' Patrouille : La Super Patrouille Le Film Paramount Pictures France Bande-Annonce,646 799,,,,,,,,,,,,,,,,,,,,,,
