,Titre,Entrées
0,1 Kung Fu Panda 4 Universal Pictures International France Bande-annonce,825 898
1,3 La Promesse verte Diaphana Distribution Bande-annonce,176 281
2,4 Pas de vagues Ad Vitam Bande-annonce,170 817
3,6 Le Jeu de la reine ARP Sélection Bande-annonce,106 872
4,4 Immaculée Metropolitan FilmExport Bande-annonce,129 796
5,5 Karaoké UGC Distribution Bande-annonce,116 784
6,6 Hors-saison Gaumont Distribution Bande-annonce,114 495
7,3 Il reste encore demain Universal Pictures International France Bande-annonce,145 340
8,4 Heureux gagnants Warner Bros. France Bande-annonce,136 628
9,10 Scandaleusement vôtre StudioCanal Bande-annonce,51 921
10,3 Bolero SND Bande-annonce,177 724
11,8 14 jours pour aller mieux Wild Bunch Distribution Bande-annonce,126 678
12,9 La Salle des profs Tandem Bande-annonce,90 612
13,10 Imaginary Metropolitan FilmExport Bande-annonce,89 440
14,1 Dune : Deuxième Partie Warner Bros. France Bande-annonce,1 383 999
15,8 Madame de Sévigné Orange Studio Distribution / Ad Vitam Bande-annonce,112 650
16,9 Tombés du camion Zinc Film Bande-annonce,78 789
17,1 Une vie SND Bande-annonce,456 390
18,7 Demon Slayer: Kimetsu No Yaiba – En route vers l'entraînement des piliers Sony Pictures Releasing France Bande-annonce,151 200
19,9 Les Chèvres ! Pathé Bande-annonce,108 258
20,1 Bob Marley: One Love Paramount Pictures France Bande-annonce,772 865
21,2 Maison de retraite 2 Apollo Films Bande-annonce,526 067
22,4 Chien et Chat Gaumont Distribution Bande-annonce,314 952
23,5 Madame Web Sony Pictures Releasing France Bande-annonce,207 894
24,10 Sans jamais nous connaître The Walt Disney Company France Bande-annonce,74 540
25,1 Cocorico SND Bande-annonce,584 706
26,2 Le Dernier Jaguar StudioCanal Bande-annonce,222 380
27,3 Daaaaaali ! Diaphana Distribution Bande-annonce,209 546
28,6 Opération Portugal 2: la vie de château Sony Pictures Releasing France Bande-annonce,122 868
29,9 Le Royaume de Kensuke Le Pacte Bande-annonce,72 554
30,1 La Zone d'intérêt Bac Films Bande-annonce,239 108
31,2 Argylle Universal Pictures International France Bande-annonce,219 098
32,"7 Léo, la fabuleuse histoire de Léonard de Vinci KMBO Bande-annonce",87 482
33,1 Un coup de dés SND Bande-annonce,221 196
34,3 May December ARP Sélection Bande-annonce,118 770
35,6 Tout sauf toi Sony Pictures Entertainment France Bande-annonce,99 314
36,8 Le Dernier des Juifs Ad Vitam Bande-annonce,64 165
37,1 Pauvres Créatures The Walt Disney Company France Bande-annonce,186 568
38,4 Comme un prince Apollo Films / Orange Studio Bande-annonce,119 238
39,"5 Bonnard, Pierre et Marthe Memento Distribution Bande-annonce",146 114
40,7 Un silence Les Films du Losange Bande-annonce,90 037
41,8 Making Of Ad Vitam Bande-annonce,88 397
42,5 Les SEGPA au ski Apollo Films Bande-annonce,344 268
43,8 Iris et les hommes Diaphana Distribution Bande-annonce,167 511
44,10 Priscilla ARP Sélection Bande-annonce,144 773
45,2 Aquaman et le Royaume perdu Warner Bros. France Bande-annonce,552 105
46,5 Chasse gardée UGC Distribution Bande-annonce,329 408
47,7 Jeff Panacloc - À la poursuite de Jean-Marc SND Bande-annonce,175 085
48,1 Wonka Warner Bros. France Bande-annonce,787 846
49,2 Les Trois Mousquetaires: Milady Pathé Bande-annonce,711 192
50,9 Les Inséparables KMBO Bande-annonce,62 664
51,2 Migration Universal Pictures International France Bande-annonce,266 863
52,6 Soudain seuls StudioCanal Bande-annonce,116 736
53,7 Noël Joyeux Gaumont Distribution Bande-annonce,101 658
54,8 Bâtiment 5 Le Pacte Bande-annonce,88 788
55,1 Wish - Asha et la bonne étoile The Walt Disney Company France Bande-annonce,628 897
56,3 La Tresse SND Bande-annonce,306 073
57,5 Le Temps D’Aimer Gaumont Distribution Bande-annonce,118 783
58,6 Perfect Days Haut et Court Bande-annonce,103 232
59,8 Thanksgiving : la semaine de l'horreur Sony Pictures Releasing France Bande-annonce,75 871
60,1 Napoléon Sony Pictures Releasing France Bande-annonce,764 419
61,7 Rien à Perdre Ad Vitam Bande-annonce,84 320
62,10 Picasso at the Lapin Agile,55 429
63,1 Hunger Games: la Ballade du serpent et de l'oiseau chanteur Metropolitan FilmExport Bande-annonce,613 191
64,7 Comme par magie Apollo Films / Orange Studio Bande-annonce,101 739
65,8 Et la fête continue ! Diaphana Distribution Bande-annonce,78 090
66,1 Five Nights At Freddy's Universal Pictures International France Bande-annonce,493 993
67,2 The Marvels The Walt Disney Company France Bande-annonce,369 007
68,3 L'Abbé Pierre - Une vie de combats SND Bande-annonce,350 564
69,8 La Passion de Dodin Bouffant Gaumont Distribution Bande-annonce,94 401
70,10 Simple comme Sylvain Memento Distribution Bande-annonce,77 363
71,1 Le Garçon et le Héron Wild Bunch Distribution Bande-annonce,702 835
72,9 Flo Metropolitan FilmExport Bande-annonce,149 707
73,10 Inestimable Pan Distribution Bande-annonce,137 335
74,1 3 jours max StudioCanal Bande-annonce,872 669
75,4 Second tour Pathé Bande-annonce,464 003
76,6 Saw X Metropolitan FilmExport Bande-annonce,315 046
77,2 Une année difficile Gaumont Distribution Bande-annonce,424 007
78,3 Les Trolls 3 Universal Pictures International France Bande-annonce,419 824
79,4 Killers of the Flower Moon Paramount Pictures France Bande-annonce,418 140
80,1 La Pat' Patrouille : La Super Patrouille Le Film Paramount Pictures France Bande-annonce,646 799
81,2 L'Exorciste - Dévotion Universal Pictures International France Bande-annonce,264 818
82,5 Expend4bles Metropolitan FilmExport Bande-annonce,154 647
83,6 Marie-Line et son juge ARP Sélection Bande-annonce,127 499
84,9 La Fiancée du poète Le Pacte Bande-annonce,62 842
85,10 Le Consentement Pan Distribution Bande-annonce,59 266
86,1 Bernadette Warner Bros. France Bande-annonce,267 041
87,2 Le Règne animal StudioCanal Bande-annonce,224 476
88,1 The Creator The Walt Disney Company France Bande-annonce,262 507
89,3 Dogman EuropaCorp Distribution / Apollo Films Bande-annonce,139 989
90,4 Nouveau départ UGC Distribution / Orange Studio Bande-annonce,124 644
91,6 Le Procès Goldman Ad Vitam Bande-annonce,110 011
92,2 La Petite SND Bande-annonce,206 646
93,5 Acide Pathé Bande-annonce,128 852
94,7 Les Feuilles mortes Diaphana Distribution Bande-annonce,111 219
95,1 La Nonne : La Malédiction de Sainte Lucie Warner Bros. France Bande-annonce,464 102
96,2 Mystère à Venise The Walt Disney Company France Bande-annonce,250 148
97,3 Un métier sérieux Le Pacte Bande-annonce,215 443
98,4 Le Livre des solutions The Jokers / Les Bookmakers Bande-annonce,188 920
99,10 L'Été dernier Pyramide Distribution Bande-annonce,58 358
100,3 Toni en famille StudioCanal Bande-annonce,121 678
101,5 Visions SND Bande-annonce,100 349
102,8 Inside KMBO Bande-annonce,43 573
103,1 Equalizer 3 Sony Pictures Releasing France Bande-annonce,378 764
104,2 Anatomie d’une chute Le Pacte Bande-annonce,346 499
105,6 Hypnotic SND Bande-annonce,189 754
106,9 Retribution StudioCanal Bande-annonce,124 439
107,3 Les As de la jungle 2 - Opération tour du monde SND Bande-annonce,262 703
108,4 Blue Beetle Warner Bros. France Bande-annonce,239 733
109,3 Gran Turismo Sony Pictures Releasing France Bande-annonce,382 349
110,5 Ninja Turtles: Teenage Years Paramount Pictures France Bande-annonce,281 644
111,10 Veuillez nous excuser pour la gêne occasionnée UGC Distribution / TF1 Studio Bande-annonce,100 308
112,3 En eaux très troubles Warner Bros. France Bande-annonce,696 823
113,4 Les Blagues de Toto 2 - classe verte SND Bande-annonce,361 350
114,9 Yannick Diaphana Distribution Le teaser,130 879
115,4 Les Déguns 2 Apollo Films Bande-annonce,307 587
116,6 Le Manoir hanté The Walt Disney Company France Bande-annonce,288 762
117,9 La Main SND Bande-annonce,187 507
118,1 Barbie Warner Bros. France Bande-annonce,1 680 490
119,2 Oppenheimer Universal Pictures International France Bande-annonce,1 138 907
120,8 La Maison du mal Metropolitan FilmExport Bande-annonce,96 861
121,1 Mission: Impossible – Dead Reckoning Partie 1 Paramount Pictures France Bande-annonce,930 141
122,6 Les Algues vertes Haut et Court Bande-annonce,125 566
123,1 Miraculous - le film SND Bande-annonce,660 421
124,4 Insidious: The Red Door Sony Pictures Releasing France Bande-annonce,306 107
125,9 Yo Mama Gaumont Distribution Bande-annonce,78 717
126,1 Indiana Jones et le Cadran de la Destinée The Walt Disney Company France Bande-annonce,1 089 875
127,4 Les Vengeances de Maître Poutifard UGC Distribution Bande-annonce,180 735
128,8 Vers un avenir radieux Le Pacte Bande-annonce,91 786
129,10 Farang StudioCanal Bande-annonce,79 426
130,1 Élémentaire The Walt Disney Company France Bande-annonce,426 818
131,5 Asteroid City Universal Pictures International France Bande-annonce,117 498
132,7 Le Challenge Sony Pictures Releasing France Bande-annonce,54 361
133,9 38°5 quai des orfèvres KMBO Bande-annonce,45 576
134,10 SISU - De l'Or et du Sang SND Bande-annonce,44 625
135,1 The Flash Warner Bros. France Bande-annonce,388 700
136,9 Sexygénaires Apollo Films / Orange Studio Bande-annonce,63 084
137,1 Transformers: Rise Of The Beasts Paramount Pictures France Bande-annonce,451 052
138,6 Des mains en or Zinc Film Bande-annonce,109 081
139,8 Wahou ! UGC Distribution Bande-annonce,95 610
140,1 Spider-Man : Across The Spider-Verse Sony Pictures Releasing France Bande-annonce,550 808
141,6 Le Croque-mitaine The Walt Disney Company France Bande-annonce,101 134
142,9 L'Île rouge Memento Distribution Bande-annonce,55 090
143,1 La Petite sirène The Walt Disney Company France Bande-annonce,582 814
144,4 L'Amour et les Forêts Diaphana Distribution Bande-annonce,220 327
145,6 Omar la fraise StudioCanal Bande-annonce,140 144
