iter	RMSE
0	451985.5963
1	441940.7093
2	432615.484
3	423169.4854
4	414308.4958
5	405578.2576
6	398008.4713
7	391292.2074
8	384248.5529
9	376987.1724
10	370128.8597
11	364430.3247
12	359281.4843
13	353846.0787
14	348480.9293
15	342937.0187
16	337845.1865
17	333110.8771
18	328017.2916
19	323856.0216
20	318805.6439
21	314851.3134
22	310767.4789
23	307745.3468
24	304142.7886
25	300409.443
26	297218.6124
27	293306.3282
28	290259.5128
29	287810.7275
30	285524.6398
31	283183.5623
32	280260.3903
33	277272.3028
34	274716.1945
35	272311.1337
36	270087.6014
37	267865.1144
38	265798.1894
39	263657.1678
40	261134.2437
41	259687.3943
42	258075.7109
43	256551.5688
44	254897.9087
45	253011.6639
46	250938.6927
47	249455.3493
48	248619.7115
49	247586.1534
50	246119.6879
51	245054.6588
52	243412.8451
53	241886.9759
54	240474.6471
55	238732.9267
56	237477.5427
57	236286.7846
58	234914.555
59	234198.6982
60	233547.6543
61	232538.8501
62	231514.1686
63	230379.3134
64	230120.8737
65	229494.5249
66	228672.5222
67	227549.4055
68	226175.8522
69	225940.5375
70	224902.6208
71	224108.1548
72	223027.2443
73	222575.2235
74	222176.6377
75	221609.4957
76	221236.026
77	220581.1658
78	219754.3468
79	218738.3502
80	218184.8548
81	217110.078
82	216237.6064
83	215212.3118
84	214923.4134
85	214811.1583
86	213941.0556
87	213206.8582
88	212470.9947
89	212121.3133
90	211717.3955
91	211381.5209
92	210830.6428
93	209967.5003
94	209104.5027
95	208577.8414
96	207861.2823
97	207223.7775
98	206521.713
99	206134.3492
100	205934.4398
101	205413.8458
102	204768.6206
103	204022.2778
104	203588.294
105	203155.659
106	202628.4216
107	202350.473
108	202216.3077
109	201465.1427
110	201081.1125
111	200665.8209
112	200241.9404
113	199826.0306
114	199235.2712
115	198713.6703
116	198219.3745
117	197798.2444
118	197439.238
119	196935.6612
120	196118.3416
121	195872.7655
122	195510.5821
123	195333.6824
124	195016.428
125	194868.303
126	194145.9157
127	193873.427
128	193350.1284
129	193011.214
130	192418.4489
131	192169.4585
132	191883.3217
133	191490.0519
134	191170.2091
135	190796.8434
136	190305.01
137	190059.3975
138	189780.7324
139	189314.8178
140	188983.5046
141	188626.574
142	188152.3668
143	188041.1798
144	187454.7347
145	186995.1423
146	186449.9137
147	185999.6551
148	185664.0194
149	185085.2211
150	184865.7313
151	184534.0578
152	184477.6282
153	184263.0665
154	183875.9336
155	183873.5353
156	183558.478
157	183019.6407
158	182869.4044
159	182510.9439
160	182168.2297
161	182076.4197
162	181794.1921
163	181475.9579
164	181448.316
165	181104.6476
166	180788.1803
167	180367.184
168	179920.9798
