iter	Passed	Remaining
0	217	217405
1	311	155574
2	376	125288
3	438	109279
4	533	106096
5	629	104255
6	725	102868
7	834	103463
8	911	100338
9	977	96769
10	1037	93242
11	1115	91883
12	1210	91877
13	1272	89615
14	1332	87508
15	1370	84285
16	1446	83655
17	1499	81792
18	1565	80818
19	1653	80999
20	1759	82037
21	1838	81720
22	1918	81515
23	1996	81185
24	2074	80909
25	2168	81244
26	2262	81527
27	2340	81233
28	2419	81023
29	2499	80810
30	2609	81567
31	2719	82279
32	2815	82510
33	2892	82186
34	2986	82353
35	3051	81723
36	3131	81514
37	3225	81651
38	3336	82207
39	3415	81979
40	3480	81402
41	3513	80148
42	3589	79880
43	3732	81097
44	3811	80878
45	3890	80686
46	3983	80773
47	4062	80570
48	4142	80390
49	4251	80775
50	4324	80468
51	4401	80241
52	4490	80227
53	4568	80033
54	4647	79854
55	4790	80753
56	4892	80933
57	5005	81304
58	5104	81415
59	5199	81458
60	5320	81908
61	5415	81932
62	5514	82019
63	5657	82743
64	5784	83214
65	5863	82979
66	5969	83130
67	6079	83330
68	6138	82824
69	6205	82445
70	6269	82035
71	6374	82153
72	6458	82011
73	6518	81567
74	6652	82050
75	6724	81752
76	6802	81538
77	6881	81337
78	6977	81349
79	7037	80934
80	7119	80778
81	7213	80756
82	7292	80565
83	7386	80552
84	7465	80363
85	7528	80017
86	7595	79709
87	7702	79827
88	7780	79644
89	7876	79642
90	7970	79613
91	8031	79263
92	8058	78588
93	8141	78471
94	8241	78508
95	8329	78436
96	8395	78158
97	8459	77861
98	8527	77607
99	8607	77467
100	8694	77392
101	8790	77388
102	8869	77237
103	8931	76951
104	8996	76685
105	9065	76456
106	9154	76399
107	9216	76122
108	9292	75962
109	9359	75726
110	9459	75765
111	9564	75835
112	9626	75563
113	9729	75618
114	9814	75526
115	9928	75662
116	10005	75514
117	10070	75269
118	10131	75005
119	10209	74869
120	10321	74980
121	10383	74729
122	10446	74483
123	10528	74376
124	10589	74127
125	10670	74012
126	10748	73882
127	10826	73758
128	10906	73643
129	10984	73510
130	11062	73384
131	11142	73269
132	11237	73252
133	11299	73026
134	11378	72904
135	11445	72715
136	11506	72484
137	11584	72358
138	11661	72232
139	11738	72110
140	11802	71901
141	11882	71796
142	11948	71604
143	12012	71404
144	12085	71260
145	12151	71077
146	12230	70971
147	12292	70762
148	12361	70602
149	12436	70475
150	12500	70285
151	12578	70175
152	12640	69977
153	12729	69931
154	12797	69767
155	12864	69601
156	12985	69722
157	13064	69621
158	13123	69412
159	13191	69255
160	13254	69070
161	13331	68964
162	13409	68859
163	13488	68757
164	13569	68670
165	13632	68493
166	13740	68538
167	13803	68358
168	13882	68262
169	13960	68161
170	14040	68067
171	14065	67710
172	14134	67565
173	14196	67394
174	14293	67381
175	14354	67205
176	14380	66864
177	14449	66725
178	14500	66506
179	14532	66202
180	14609	66104
181	14673	65948
182	14737	65793
183	14794	65610
184	14882	65561
185	14987	65589
186	15051	65439
187	15120	65306
188	15224	65329
189	15284	65162
190	15318	64885
191	15398	64800
192	15477	64717
193	15540	64563
194	15600	64402
195	15667	64270
196	15739	64155
197	15808	64030
198	15873	63893
199	15941	63765
200	16015	63665
201	16076	63511
202	16139	63365
203	16181	63141
204	16250	63019
205	16312	62876
206	16394	62804
207	16461	62679
208	16566	62700
209	16632	62568
210	16695	62428
211	16788	62403
212	16850	62260
213	16929	62179
214	16989	62031
215	17054	61902
216	17125	61794
217	17197	61688
218	17239	61478
219	17323	61418
220	17383	61273
221	17439	61118
222	17511	61016
223	17581	60905
224	17632	60735
225	17698	60612
226	17761	60484
227	17828	60365
228	17938	60396
229	17981	60198
230	18052	60097
231	18112	59957
232	18177	59836
233	18287	59865
234	18370	59801
235	18476	59815
236	18546	59709
237	18631	59653
238	18705	59561
239	18831	59632
240	18905	59539
241	18964	59401
242	19051	59351
243	19123	59252
244	19218	59225
245	19293	59136
246	19355	59008
247	19424	58900
248	19512	58850
249	19575	58725
250	19637	58599
251	19701	58477
252	19767	58365
253	19839	58268
254	19904	58150
255	19983	58077
256	20063	58003
257	20142	57929
258	20222	57856
259	20300	57779
260	20364	57659
261	20441	57579
262	20522	57509
263	20584	57386
264	20647	57267
265	20727	57195
266	20805	57117
267	20869	57000
268	20945	56920
269	21009	56803
270	21086	56724
271	21149	56605
272	21229	56533
273	21340	56544
274	21404	56431
275	21465	56308
276	21544	56233
277	21599	56096
278	21667	55994
279	21733	55886
280	21816	55822
281	21927	55829
