categories,url,winners,year
"'Best Picture', 'Best Actor in a Leading Role', 'Best Actress in a Leading Role', 'Best Actor in a Supporting Role', 'Best Actress in a Supporting Role', 'Best Director', 'Best Writing, Screenplay Written Directly for the Screen', 'Best Writing, Screenplay Based on Material Previously Produced or Published', 'Best Foreign Language Film', 'Best Cinematography', 'Best Art Direction-Set Decoration', 'Best Costume Design', 'Best Sound', 'Best Sound Editing', 'Best Film Editing', 'Best Effects, Visual Effects', 'Best Makeup', 'Best Music, Original Song', 'Best Music, Original Score', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Animated Feature'",https://www.imdb.com/event/ev0000003/2002/1,"['A Beautiful Mind', 'Denzel Washington', 'Halle Berry', 'Jim Broadbent', 'Jennifer Connelly', 'Ron Howard', 'Gosford Park', 'A Beautiful Mind', 'No Mans Land', 'The Lord of the Rings: The Fellowship of the Ring', 'Moulin Rouge!', 'Moulin Rouge!', 'Black Hawk Down', 'Pearl Harbor', 'Black Hawk Down', 'The Lord of the Rings: The Fellowship of the Ring', 'The Lord of the Rings: The Fellowship of the Ring', 'Monsters, Inc.', 'The Lord of the Rings: The Fellowship of the Ring', 'For the Birds', 'The Accountant', 'Thoth', 'Murder on a Sunday Morning', 'Shrek', 'Robert Redford', 'Ray Feeney', 'Rune Ericson', 'Franz Kraus', 'Bill Spitzak, Paul Van Camp, Jonathan Egstad, Price Pethel']",2002
"'Best Motion Picture of the Year', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actress in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Performance by an Actress in a Supporting Role', 'Best Achievement in Directing', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Achievement in Cinematography', 'Best Achievement in Art Direction', 'Best Achievement in Film Editing', 'Best Achievement in Costume Design', 'Best Achievement in Music Written for Motion Pictures, Original Song', 'Best Achievement in Music Written for Motion Pictures, Original Score', 'Best Achievement in Sound Mixing', 'Best Achievement in Sound Editing', 'Best Achievement in Visual Effects', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Foreign Language Film of the Year', 'Best Animated Feature Film of the Year', 'Best Achievement in Makeup'",https://www.imdb.com/event/ev0000003/2005/1,"['Million Dollar Baby', 'Jamie Foxx', 'Hilary Swank', 'Morgan Freeman', 'Cate Blanchett', 'Clint Eastwood', 'Eternal Sunshine of the Spotless Mind', 'Sideways', 'The Aviator', 'The Aviator', 'The Aviator', 'The Aviator', 'The Motorcycle Diaries', 'Finding Neverland', 'Ray', 'The Incredibles', 'Spider-Man 2', 'Ryan', 'Wasp', 'Mighty Times: The Childrens March', 'Born Into Brothels: Calcuttas Red Light Kids', 'The Sea Inside', 'The Incredibles', 'A Series of Unfortunate Events', 'Arthur Widmer', 'Horst Burbulla', 'Guy Griffiths, David Hodson, David Mann', 'Alan Kapler']",2005
"'Best Motion Picture of the Year', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actress in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Performance by an Actress in a Supporting Role', 'Best Achievement in Directing', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Achievement in Cinematography', 'Best Achievement in Art Direction', 'Best Achievement in Film Editing', 'Best Achievement in Costume Design', 'Best Achievement in Music Written for Motion Pictures, Original Song', 'Best Achievement in Music Written for Motion Pictures, Original Score', 'Best Achievement in Sound Mixing', 'Best Achievement in Sound Editing', 'Best Achievement in Visual Effects', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Foreign Language Film of the Year', 'Best Animated Feature Film of the Year', 'Best Achievement in Makeup'",https://www.imdb.com/event/ev0000003/2007/1,"['The Departed', 'Forest Whitaker', 'Helen Mirren', 'Alan Arkin', 'Jennifer Hudson', 'Martin Scorsese', 'Little Miss Sunshine', 'The Departed', 'Pans Labyrinth', 'Pans Labyrinth', 'The Departed', 'Marie Antoinette', 'An Inconvenient Truth', 'Babel', 'Dreamgirls', 'Letters from Iwo Jima', 'Pirates of the Caribbean: Dead Mans Chest', 'The Danish Poet', 'West Bank Story', 'The Blood of Yingzhou District', 'An Inconvenient Truth', 'The Lives of Others', 'Happy Feet', 'Pans Labyrinth', 'Ennio Morricone', 'Ioan Allen, Mary Ann Anderson, Ted Costas, Paul R. Goldberg, Tom Kuhn', 'Bill Collis, Ben Kent', 'Bill Feightner (E-Film), Chris Edwards (E-Film)', 'Ray Feeney']",2007
"'Best Actor in a Leading Role', 'Best Actor in a Supporting Role', 'Best Actress in a Leading Role', 'Best Actress in a Supporting Role', 'Best Art Direction-Set Decoration', 'Best Cinematography', 'Best Costume Design', 'Best Director', 'Best Documentary, Features', 'Best Documentary, Short Subjects', 'Best Effects, Visual Effects', 'Best Film Editing', 'Best Foreign Language Film', 'Best Makeup', 'Best Music, Original Score', 'Best Music, Original Song', 'Best Picture', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Sound', 'Best Sound Editing', 'Best Writing, Screenplay Based on Material Previously Produced or Published', 'Best Writing, Screenplay Written Directly for the Screen'",https://www.imdb.com/event/ev0000003/2001/1,"['Russell Crowe', 'Benicio Del Toro', 'Julia Roberts', 'Marcia Gay Harden', 'Crouching Tiger, Hidden Dragon', 'Crouching Tiger, Hidden Dragon', 'Gladiator', 'Steven Soderbergh', 'Into the Arms of Strangers: Stories of the Kindertransport', 'Big Mama', 'Gladiator', 'Traffic', 'Crouching Tiger, Hidden Dragon', 'How the Grinch Stole Christmas', 'Crouching Tiger, Hidden Dragon', 'Wonder Boys', 'Gladiator', 'Father and Daughter', 'Quiero ser (I want to be...)', 'Gladiator', 'U-571', 'Traffic', 'Almost Famous', 'Ernest Lehman', 'Paul Kenworthy', 'Ioan Allen, Mark Harrah', 'Rob Cook, Loren Carpenter, Ed Catmull', 'Al Mayer Jr.', 'Bill Tondreau (Kuper Systems), Alvah J. Miller (Lynx Robotics), Paul D. Johnson (Lynx Robotics), David Stump (Visual Effects Rental Services)']",2001
"'Best Picture', 'Best Actor in a Leading Role', 'Best Actress in a Leading Role', 'Best Actor in a Supporting Role', 'Best Actress in a Supporting Role', 'Best Director', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Foreign Language Film', 'Best Cinematography', 'Best Art Direction-Set Decoration', 'Best Costume Design', 'Best Sound', 'Best Sound Editing', 'Best Film Editing', 'Best Makeup', 'Best Music, Original Song', 'Best Music, Original Score', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Animated Feature', 'Best Visual Effects'",https://www.imdb.com/event/ev0000003/2003/1,"['Chicago', 'Adrien Brody', 'Nicole Kidman', 'Chris Cooper', 'Catherine Zeta-Jones', 'Roman Polanski', 'Talk to Her', 'The Pianist', 'Nowhere in Africa', 'Road to Perdition', 'Chicago', 'Chicago', 'Chicago', 'The Lord of the Rings: The Two Towers', 'Chicago', 'Frida', '8 Mile', 'Frida', 'The Chubbchubbs!', 'This Charming Man', 'Twin Towers', 'Bowling for Columbine', 'Spirited Away', 'The Lord of the Rings: The Two Towers', 'Peter OToole', 'Curt Behlmer', 'For their continuing development and innovation in the design and manufacturing of advanced camera systems specifically designed for the motion picture entertainment industry.', 'Dedo Weigert', 'Dick Walsh']",2003
"'Best Picture', 'Best Actor in a Leading Role', 'Best Actress in a Leading Role', 'Best Actor in a Supporting Role', 'Best Actress in a Supporting Role', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Foreign Language Film', 'Best Cinematography', 'Best Costume Design', 'Best Sound Editing', 'Best Sound Mixing', 'Best Film Editing', 'Best Makeup', 'Best Music, Original Song', 'Best Music, Original Score', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Animated Feature', 'Best Visual Effects', 'Best Art Direction-Set Decoration', 'Best Director'",https://www.imdb.com/event/ev0000003/2004/1,"['The Lord of the Rings: The Return of the King', 'Sean Penn', 'Charlize Theron', 'Tim Robbins', 'Renée Zellweger', 'Lost in Translation', 'The Lord of the Rings: The Return of the King', 'The Barbarian Invasions', 'Master and Commander: The Far Side of the World', 'The Lord of the Rings: The Return of the King', 'Master and Commander: The Far Side of the World', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Return of the King', 'Harvie Krumpet', 'Two Soldiers', 'Chernobyl Heart', 'The Fog of War', 'Finding Nemo', 'The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Return of the King', 'Peter Jackson', 'Blake Edwards', 'Bill Tondreau (Kuper Controls)', 'Andrew Cannon', 'Christophe Hery, Ken McGaugh, Joe Letteri']",2004
"'Best Actor in a Leading Role', 'Best Actor in a Supporting Role', 'Best Actress in a Leading Role', 'Best Actress in a Supporting Role', 'Best Art Direction-Set Decoration', 'Best Cinematography', 'Best Costume Design', 'Best Director', 'Best Documentary, Features', 'Best Documentary, Short Subjects', 'Best Effects, Sound Effects Editing', 'Best Effects, Visual Effects', 'Best Film Editing', 'Best Foreign Language Film', 'Best Makeup', 'Best Music, Original Score', 'Best Music, Original Song', 'Best Picture', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Sound', 'Best Writing, Screenplay Based on Material Previously Produced or Published', 'Best Writing, Screenplay Written Directly for the Screen'",https://www.imdb.com/event/ev0000003/2000/1,"['Kevin Spacey', 'Michael Caine', 'Hilary Swank', 'Angelina Jolie', 'Sleepy Hollow', 'American Beauty', 'Topsy-Turvy', 'Sam Mendes', 'One Day in September', 'King Gimp', 'The Matrix', 'The Matrix', 'The Matrix', 'All About My Mother', 'Topsy-Turvy', 'The Red Violin', 'Tarzan', 'American Beauty', 'Le vieil homme et la mer', 'My Mother Dreams the Satans Disciples in New York', 'The Matrix', 'The Cider House Rules', 'American Beauty', 'Andrzej Wajda', 'Huw Gwyllyn', 'Chris Woolf']",2000
"'Best Motion Picture of the Year', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actress in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Performance by an Actress in a Supporting Role', 'Best Achievement in Directing', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Achievement in Cinematography', 'Best Achievement in Art Direction', 'Best Achievement in Film Editing', 'Best Achievement in Costume Design', 'Best Achievement in Music Written for Motion Pictures, Original Song', 'Best Achievement in Music Written for Motion Pictures, Original Score', 'Best Achievement in Sound Mixing', 'Best Achievement in Sound Editing', 'Best Achievement in Visual Effects', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Foreign Language Film of the Year', 'Best Animated Feature Film of the Year', 'Best Achievement in Makeup'",https://www.imdb.com/event/ev0000003/2006/1,"['Crash', 'Philip Seymour Hoffman', 'Reese Witherspoon', 'George Clooney', 'Rachel Weisz', 'Ang Lee', 'Crash', 'Brokeback Mountain', 'Memoirs of a Geisha', 'Memoirs of a Geisha', 'Crash', 'Memoirs of a Geisha', 'Hustle & Flow', 'Brokeback Mountain', 'King Kong', 'King Kong', 'King Kong', 'The Moon and the Son: An Imagined Conversation', 'Six Shooter', 'A Note of Triumph: The Golden Age of Norman Corwin', 'March of the Penguins', 'Tsotsi', 'Wallace & Gromit: The Curse of the Were-Rabbit', 'The Chronicles of Narnia: The Lion, the Witch and the Wardrobe', 'Robert Altman', 'Anatoliy Kokush', 'Alvah J. Miller']",2006
"'Best Motion Picture of the Year', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actress in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Performance by an Actress in a Supporting Role', 'Best Achievement in Directing', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Achievement in Cinematography', 'Best Achievement in Art Direction', 'Best Achievement in Film Editing', 'Best Achievement in Costume Design', 'Best Achievement in Music Written for Motion Pictures, Original Song', 'Best Achievement in Music Written for Motion Pictures, Original Score', 'Best Achievement in Sound Mixing', 'Best Achievement in Sound Editing', 'Best Achievement in Visual Effects', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subject', 'Best Documentary, Features', 'Best Foreign Language Film of the Year', 'Best Animated Feature Film of the Year', 'Best Achievement in Makeup'",https://www.imdb.com/event/ev0000003/2009/1,"['Slumdog Millionaire', 'Sean Penn', 'Kate Winslet', 'Heath Ledger', 'Penélope Cruz', 'Danny Boyle', 'Milk', 'Slumdog Millionaire', 'Slumdog Millionaire', 'The Curious Case of Benjamin Button', 'Slumdog Millionaire', 'The Duchess', 'Slumdog Millionaire', 'Slumdog Millionaire', 'Slumdog Millionaire', 'The Dark Knight', 'The Curious Case of Benjamin Button', 'The House of Small Cubes', 'Toyland', 'Smile Pinki', 'Man on Wire', 'Departures', 'WALL·E', 'The Curious Case of Benjamin Button', 'For the optical design (Coumert/Debize) and for the mechanical design (Chervin/Reboulet) of the compact and lightweight Angenieux 15-40 and 28-76 zoom lenses for handheld motion picture photography.']",2009
"'Best Motion Picture of the Year', 'Best Performance by an Actor in a Leading Role', 'Best Performance by an Actress in a Leading Role', 'Best Performance by an Actor in a Supporting Role', 'Best Performance by an Actress in a Supporting Role', 'Best Achievement in Directing', 'Best Writing, Original Screenplay', 'Best Writing, Adapted Screenplay', 'Best Achievement in Cinematography', 'Best Achievement in Art Direction', 'Best Achievement in Film Editing', 'Best Achievement in Costume Design', 'Best Achievement in Music Written for Motion Pictures, Original Song', 'Best Achievement in Music Written for Motion Pictures, Original Score', 'Best Achievement in Sound Mixing', 'Best Achievement in Sound Editing', 'Best Achievement in Visual Effects', 'Best Short Film, Animated', 'Best Short Film, Live Action', 'Best Documentary, Short Subjects', 'Best Documentary, Features', 'Best Foreign Language Film of the Year', 'Best Animated Feature Film of the Year', 'Best Achievement in Makeup'",https://www.imdb.com/event/ev0000003/2008/1,"['No Country for Old Men', 'Daniel Day-Lewis', 'Marion Cotillard', 'Javier Bardem', 'Tilda Swinton', 'Ethan Coen, Joel Coen', 'Juno', 'No Country for Old Men', 'There Will Be Blood', 'Sweeney Todd: The Demon Barber of Fleet Street', 'The Bourne Ultimatum', 'Elizabeth: The Golden Age', 'Once', 'Atonement', 'The Bourne Ultimatum', 'The Bourne Ultimatum', 'The Golden Compass', 'Peter and The Wolf', 'The Mozart of Pickpockets', 'Freeheld', 'Taxi to the Dark Side', 'The Counterfeiters', 'Ratatouille', 'La Vie En Rose', 'Robert F. Boyle', 'Jonathan Erland', 'Doug Roble, Nafees Bin Zafar, Ryo Sakaguchi', 'Christien Tinsley']",2008
