category,winner,year
Best Picture,A Beautiful Mind,2002
Best Actor in a Leading Role,Denzel Washington,2002
Best Actress in a Leading Role,Halle Berry,2002
Best Actor in a Supporting Role,Jim Broadbent,2002
Best Actress in a Supporting Role,Jennifer Connelly,2002
Best Director,Ron Howard,2002
Best Writing,Gosford Park,2002
Screenplay Written Directly for the Screen,A Beautiful Mind,2002
Best Writing,No Mans Land,2002
Screenplay Based on Material Previously Produced or Published,The Lord of the Rings: The Fellowship of the Ring,2002
Best Foreign Language Film,Moulin Rouge!,2002
Best Cinematography,Moulin Rouge!,2002
Best Art Direction-Set Decoration,Black Hawk Down,2002
Best Costume Design,Pearl Harbor,2002
Best Sound,Black Hawk Down,2002
Best Sound Editing,The Lord of the Rings: The Fellowship of the Ring,2002
Best Film Editing,The Lord of the Rings: The Fellowship of the Ring,2002
Best Effects,Monsters,2002
Visual Effects,Inc.,2002
Best Makeup,The Lord of the Rings: The Fellowship of the Ring,2002
Best Music,For the Birds,2002
Original Song,The Accountant,2002
Best Music,Thoth,2002
Original Score,Murder on a Sunday Morning,2002
Best Short Film,Shrek,2002
Animated,Robert Redford,2002
Best Short Film,Ray Feeney,2002
Live Action,Rune Ericson,2002
Best Documentary,Franz Kraus,2002
Short Subjects,Bill Spitzak,2002
Best Documentary,Paul Van Camp,2002
Features,Jonathan Egstad,2002
Best Animated Feature,Price Pethel],2002
Best Motion Picture of the Year,Million Dollar Baby,2005
Best Performance by an Actor in a Leading Role,Jamie Foxx,2005
Best Performance by an Actress in a Leading Role,Hilary Swank,2005
Best Performance by an Actor in a Supporting Role,Morgan Freeman,2005
Best Performance by an Actress in a Supporting Role,Cate Blanchett,2005
Best Achievement in Directing,Clint Eastwood,2005
Best Writing,Eternal Sunshine of the Spotless Mind,2005
Original Screenplay,Sideways,2005
Best Writing,The Aviator,2005
Adapted Screenplay,The Aviator,2005
Best Achievement in Cinematography,The Aviator,2005
Best Achievement in Art Direction,The Aviator,2005
Best Achievement in Film Editing,The Motorcycle Diaries,2005
Best Achievement in Costume Design,Finding Neverland,2005
Best Achievement in Music Written for Motion Pictures,Ray,2005
Original Song,The Incredibles,2005
Best Achievement in Music Written for Motion Pictures,Spider-Man 2,2005
Original Score,Ryan,2005
Best Achievement in Sound Mixing,Wasp,2005
Best Achievement in Sound Editing,Mighty Times: The Childrens March,2005
Best Achievement in Visual Effects,Born Into Brothels: Calcuttas Red Light Kids,2005
Best Short Film,The Sea Inside,2005
Animated,The Incredibles,2005
Best Short Film,A Series of Unfortunate Events,2005
Live Action,Arthur Widmer,2005
Best Documentary,Horst Burbulla,2005
Short Subjects,Guy Griffiths,2005
Best Documentary,David Hodson,2005
Features,David Mann,2005
Best Foreign Language Film of the Year,Alan Kapler],2005
Best Motion Picture of the Year,The Departed,2007
Best Performance by an Actor in a Leading Role,Forest Whitaker,2007
Best Performance by an Actress in a Leading Role,Helen Mirren,2007
Best Performance by an Actor in a Supporting Role,Alan Arkin,2007
Best Performance by an Actress in a Supporting Role,Jennifer Hudson,2007
Best Achievement in Directing,Martin Scorsese,2007
Best Writing,Little Miss Sunshine,2007
Original Screenplay,The Departed,2007
Best Writing,Pans Labyrinth,2007
Adapted Screenplay,Pans Labyrinth,2007
Best Achievement in Cinematography,The Departed,2007
Best Achievement in Art Direction,Marie Antoinette,2007
Best Achievement in Film Editing,An Inconvenient Truth,2007
Best Achievement in Costume Design,Babel,2007
Best Achievement in Music Written for Motion Pictures,Dreamgirls,2007
Original Song,Letters from Iwo Jima,2007
