movie_boxoffice,movie_budget,movie_cast,movie_categories,movie_countries,movie_director,movie_id,movie_imdb_metascore,movie_imdb_nb_of_ratings,movie_imdb_popularity,movie_imdb_rating,movie_length,movie_original_title,movie_production_companies,movie_synopsis,movie_title,movie_url,movie_us_boxoffice,release_date
216521032,85000000,"Jack Black, Awkwafina, Viola Davis, Dustin Hoffman, Bryan Cranston, James Hong, Ian McShane, Ke Huy Quan, Ronny Chieng, Lori Tan Chinn, Seth Rogen, Mr. Beast, James Murray, James Sie, Cedric Yarbrough, Vic Chao, Audrey Brooke, Lincoln Nakamura","Animation, Action, Aventure","États-Unis, Chine","Mike Mitchell, Stephanie Stine",tt21692408,56,12000,8,6.5,94,,"China Film Group Corporation (CFGC), DreamWorks Animation, DreamWorks","Suivez Po dans ses aventures dans la Chine ancienne, où son amour du kung-fu n'a d'égal que son appétit insatiable.",Kung Fu Panda 4,https://www.imdb.com/title/tt21692408/?ref_=rlm,130937355,27-03-2024
,,"Hugo Becker, Ahmed Sylla, Hakim Jemili, Etienne Guillou-Kervern, Ibrahima Ba",Comédie,France,Ludovic Bernard,tt27722530,,,,,, Ici Et Là Bas,Prelude,"Un problème de visa oblige Adrien à revenir à Paris après 15 ans passés au Sénégal avec sa femme Aminata. Son cousin Sékou, éloigné de ses origines sénégalaises, l'héberge.",Ici Et Là-Bas,https://www.imdb.com/title/tt27722530/?ref_=rlm,,17-04-2024
245319,,"María Vázquez, Santi Prego, Tatán, Susana Sampedro, Soraya Luaces, Silvia Romaus, Xosé Manuel Esperante, Josito Porto, Lidia Veiga, Isabel Naveira, Ángel Abal, Sergio Baleirón, Ana Domínguez, Pablo Aguilar, Quinita Domínguez, Antonio Rey, Carmen Barroso, Manola Iglesias",Drame,Espagne,Álvaro Gago,tt13866630,,539,,6.6,99,,"Avalon, Axencia Galega das Industrias Culturais (AGADIC), Corporación Radio e Televisión de Galicia (CRTVG)","A woman in a Galician fishing village is struggling to get by with hard work and rough charm. With her 18-year-old daughter now ready to stand on her own two feet, Ramona begins to question her life up to this point.",Matria,https://www.imdb.com/title/tt13866630/?ref_=rlm,,17-04-2024
,,"Lio Tipton, Charles Halford, Weston Razooli, Lorelei Olivia Mote, Austin Archer, Abigail Sakari, Phoebe Ferro, Charlie Stover, Danielle Hoetmer, Rachel Browne, Skyler Peters, Andrea Browne, Lonzo Liggins, Chuck Marra, Colleen Baum, Sohrab Mirmont, Kent Richards","Action, Aventure, Comédie",États-Unis,Weston Razooli,tt7575046,53,284,3482,7.1,113,,"ANAXIA, FullDawa Films",Three mischievous children embark on a woodland odyssey when their mother sends them on an errand.,Riddle Of Fire,https://www.imdb.com/title/tt7575046/?ref_=rlm,,17-04-2024
,2180000,"John Magaro, Steve Zahn, Dylan Baker, Galadriel Stineman, Matthew Del Negro, Brad Leland, Bob Clendenin, Megan Stevenson, Emily Pendergast, Alex Knight, Rio Alexander, Brooks Hall, Darcy Shean, Vic Browder, Mimi Fletcher, Ian A. Hudson, Marion Birdsall, Brannon Cross","Comédie, Policier, Thriller","États-Unis, France",Shane Atkinson,tt20102596,,127,,7.1,112,,"Adastra Films, FLOTE Entertainment, Adastra Films","When Ray discovers that his wife is cheating on him, he decides he's going to kill himself. His plans suddenly change when a stranger mistakes him for a low-rent hitman.","Laroy, Texas",https://www.imdb.com/title/tt20102596/?ref_=rlm,,17-04-2024
1941012,,"BIBI, Park Bo-kyung, Xa-Bin Hong, Jeong Jae-kwang, Kim Jong-soo, Song Joong-ki","Policier, Drame",Corée du Sud,Kim Chang-hoon,tt27502351,,392,,6.1,133, Hwaran,"Megabox Plus M, Sanai Pictures",Dangerous people who make risky choices to escape from their hellish realities.,Hopeless,https://www.imdb.com/title/tt27502351/?ref_=rlm,,17-04-2024
,,"Lubna Azabal, Fabrizio Rongione, Catherine Salée, Johan Heldenbergh, Babetida Sadjo, Malek Akhmisse, Kenza Benbouchta, Ethelle Gonzalez Lardued, Mehdy Khachachi, Evelyn Ariza, Olivier Bisback, Martine Lemal, Elodie Barthels",Drame,Belgique,Jawad Rhalib,tt21916652,,85,,8.0,107,,"Scope Pictures, Serendipity films","Amal, a teacher in a Brussels school, encourages her pupils to cultivate a love of reading and freedom of expression, even if it means putting herself in danger. Her daring teaching practices will change her pupils' and family circle lives.",Amal,https://www.imdb.com/title/tt21916652/?ref_=rlm,,17-04-2024
43946087,,"Takuya Eguchi, Atsumi Tanezaki, Saori Hayami, ""Kenichirô Matsuda"", Hiroyuki Yoshino, Yûko Kaida, Kazuhiro Yamaji, Kenshô Ono, Natsumi Fujiwara, Emiri Kato, Ayane Sakura, Noucky Andriansyah, Anthony Bowling, Dani Chambers, Banjô Ginga, Caitlin Glass, Kento Kaku, Tomoya Nakamura","Animation, Action, Comédie",Japon,Kazuhiro Furuhashi,tt26684398,,649,,7.5,110, Gekijô-Ban Supai Famirî Kôdo: Howaito,"Wit Studio, CloverWorks, TOHO animation","After receiving an order to be replaced in Operation Strix, Loid decides to help Anya win a cooking competition at Eden Academy, by making the director's favorite meal in order to prevent his replacement.",Spy X Family Code: White,https://www.imdb.com/title/tt26684398/?ref_=rlm,,17-04-2024
1743976,,"Ezequiel Rodríguez, Demián Salomón, Silvina Sabater, Luis Ziembrowski, Marcelo Michinaux, Emilio Vodanovich, Virginia Garófalo, Paula Rubinsztein, Lucrecia Nirón Talazac, Isabel Quinteros, Desirée Salgueiro, Federico Liss, Ricardo Velázquez, Jorge Prado, Diego Sampayo, Pedro Larrabide, Cleo Díaz, Agostina Aguilera",Horreur,"Argentine, États-Unis",Demián Rugna,tt16300962,75,29000,378,7.0,99, Cuando Acecha La Maldad,"Machaco Films, Aramos Cine, Shudder","Dans un village isolé, deux frères trouvent un homme infecté par un démon sur le point de ""donner naissance"" au mal lui-même. Ils décident de se débarrasser du corps, mais finissent par répandre involontairement le chaos.",When Evil Lurks,https://www.imdb.com/title/tt16300962/?ref_=rlm,546626,17-04-2024
,50000000,"Nick Offerman, Kirsten Dunst, Wagner Moura, Jefferson White, Nelson Lee, Evan Lai, Cailee Spaeny, Stephen McKinley Henderson, Vince Pisani, Justin James Boykin, Jess Matney, Greg Hill, Edmund Donovan, Tim James, Simeon Freeman, James Yaegashi, Dean Grimes, Alexa Mansour",Action,"États-Unis, Royaume-Uni",Alex Garland,tt17279496,77,315,54,7.4,109,,"A24, DNA Films, IPR.VC","Dans un futur proche, une équipe de journalistes parcourt les États-Unis au cours d'une guerre civile qui s'intensifie rapidement et qui a englouti le pays tout entier.",Civil War,https://www.imdb.com/title/tt17279496/?ref_=rlm,,17-04-2024
